_id,text
5f6216c3cfe6f0c40622f4f9,"RT @CurtisHebert: Despite all the bloody smears lodged against the president, Biden’s plans almost completely echo Trumps actions. #Biden i…"
5f6216c3cfe6f0c40622f4fb,RT @AJDelgado13: Ok I don’t often laugh so hard I shake but this did it
5f6216c3cfe6f0c40622f4fd,"RT @CAFinUS: You traded cotton and tobacco fields for battlefields. You said joining the Army saved your life.

Vietnam. South Korea. The P…"
5f6216c3cfe6f0c40622f4ff,"2020 Mental health among healthcare providers during coronavirus disease (COVID-19) outbreak in Saudi Arabia
https://t.co/FwtI16Hug0!"
5f6216c3cfe6f0c40622f501,RT @chrislhayes: 2020 snapshot: First day of virtual 1st grade and my son is musing about Christmas. “I hope Santa doesn’t catch the corona…
5f6216c3cfe6f0c40622f503,RT @caffyhank: Ey up its me covid 19 https://t.co/ZXLBm7dDgY
5f6216c3cfe6f0c40622f505,RT @atrupar: Trump is out here totally making stuff up. He had just been impeached before Covid. Democrats were not calling him and saying…
5f6216c3cfe6f0c40622f507,RT @desix_0825: lol Moonbin coughed and did the “X” (to probably say he doesn’t have corona) which made Young K laugh 😂😂😂 https://t.co/uHDR…
5f6216c3cfe6f0c40622f509,RT @kylegriffin1: Why did the president knowingly mislead America about the coronavirus threat?
5f6216c3cfe6f0c40622f50b,RT @tribelaw: It turns out lots of Trump supporters just don’t believe that he told Woodward he knew Covid was airborne and more lethal tha…
5f6216c3cfe6f0c40622f50d,"RT @cloudyjazz: @I3inky @AngelaBelcamino @realDonaldTrump Nah wait, More disturbing? How about one who keeps filing bankruptcies even while…"
5f6216c3cfe6f0c40622f50f,RT @pimlicat: Brexit harms our health https://t.co/27dUWGj7zi
5f6216c3cfe6f0c40622f511,RT @Jmkerdoc1: @ConservBlue2020 I wear a mask every day in the ER.  It isn’t that tough.  I haven’t lost any of my constitutional freedoms.…
5f6216c3cfe6f0c40622f513,RT @IFPMA: The biopharmaceutical industry was able to rapidly screen the industry’s vast libraries of medicines to identify potential #COVI…
5f6216c3cfe6f0c40622f515,"@digitalhen @ruskin147 @BBCHelena Sep 2020, how the fuck is this not all ironed out already. Start to finish the… https://t.co/rO26qcVTth"
5f6216c3cfe6f0c40622f517,"UMN researchers trace the flow of virus-laden air in interior spaces—including our lungs.
 https://t.co/Z6Zv2fluoa"
5f6216c3cfe6f0c40622f519,"RT @EMPosts: President Lopez Obrador just gave the ""Shout of Independence"" to the empty plaza, including a cry ""Long live the hope in the f…"
5f6216c3cfe6f0c40622f51b,"RT @googiehyung: CALL FOR DONATIONS - Please help me RT!

My cousin is in a really tough place right now and we're asking for your prayers…"
5f6216c3cfe6f0c40622f51d,"RT @doctor_oxford: Last night, Royal Bolton Hospital had 100 people in A&amp;E and 5 ambulances queuing outside.

People are turning up in desp…"
5f6216c3cfe6f0c40622f51f,"RT @ZackBornstein: Finally some good news, scientists discovered a treatment that can reduce COVID19 transmission by 70%, and its just a pi…"
5f6216c3cfe6f0c40622f521,"RT @GenFlynn: When something is so vital to America’s survival...”Everyone needs to know the truth”⁩

China has no other intention than to…"
5f6216c3cfe6f0c40622f523,"RT @dpkesto: At this time people loosing jobs due to COVID and govt don't allow surviving through crypto trading. plz 🙏 don't ban crypto in…"
5f6216c3cfe6f0c40622f525,RT @tobyfox: I designed a shirt for the anniversary! I drew it using a trackball mouse. It has quotes from the game on the back if you want…
5f6216c3cfe6f0c40622f527,"RT @trish_regan: #MSM reporting that the USA has THE HIGHEST death rate in the world from COVID-19. **WRONG**

Members of the MSM are too b…"
5f6216c3cfe6f0c40622f529,RT @EnzDeQuay: corona leaving when it hits 12AM on jan 1 2021 https://t.co/oWFfJygVAr
5f6216c3cfe6f0c40622f52b,"RT @ndrew_lawrence: wow imagine living in a country where leadership lied about coronavirus, that would be horrible https://t.co/CnSnB49vKZ"
5f6216c3cfe6f0c40622f52d,He will soon be predicate the second coming
5f6216c3cfe6f0c40622f52f,"RT @harrisonjaime: Our campaign has provided food and essential supplies to those in need during the COVID pandemic.

.@LindseyGrahamSC has…"
5f6216c3cfe6f0c40622f531,"@JackTheQuila @badhistorytakes Current cdc numbers are 175,000 Covid deaths. 100,000 are over 75 years old. Less th… https://t.co/2qESDZtlEj"
5f6216c3cfe6f0c40622f533,RT @AmbAlyaAlThani: He promised us an exceptional #UNGA and he delivered. Thank you brother Prof Tijjani Muhammed Bande for your leadership…
5f6216c3cfe6f0c40622f535,"RT @SkyNews: Another 11 people who tested positive for #coronavirus have died in hospital in England, bringing the total confirmed deaths i…"
5f6216c3cfe6f0c40622f537,RT @davidmweissman: Waiting 70 days later to stop flights from entering the country after finding out about #COVID19 was reckless. Down pla…
5f6216c3cfe6f0c40622f539,"RT @MarkWogenrich: The Big Ten is establishing a cardiac registry to ""examine the effects of COVID-19 positive"" on athletes. Those who test…"
5f6216c3cfe6f0c40622f53b,"RT @CBCNews: Canadians under 40 are getting COVID-19 at cottages, family gatherings, dinner parties — all kinds of indoor settings, and not…"
5f6216c3cfe6f0c40622f53d,"RT @jcsekhar74: Help me understand how, after hearing Trump’s own voice in the Woodward recordings saying COVID-19 is a “scourge” and a “pl…"
5f6216c3cfe6f0c40622f53f,"At that point in the time of corona , where I’m spending way too much fashionable masks #howmuchistoomuch"
5f6216c4cfe6f0c40622f541,"RT @HasanHussain07: That's not going to change anytime soon especially when London to Durham was mentioned! #PMQs #PoliticsLive #Covid_19 #…"
5f6216c4cfe6f0c40622f543,RT @KarluskaP: Chinese virologist posts report claiming COVID-19 was made in Wuhan lab-  https://t.co/HrKw5qZvjB
5f6216c4cfe6f0c40622f545,RT @SWFLMom2020: #COVID19 is laying bare racial disparities in #OurHealth system. POC are dying at higher rates b/c of a tragic combination…
5f6216c4cfe6f0c40622f547,RT @Kesava__ak: I HONESTLY REQUESTING @narendramodi garu🙏 TO CANCEL ALL EXAMS OF DIPLOMA  AND USE  FEES MONEY OF  EXAMS TO FIGHT AGAINST @C…
5f6216c4cfe6f0c40622f549,RT @ANI: Russia to supply India’s Dr. Reddy’s Laboratories with 100 million doses of the Sputnik-V vaccine against COVID-19 once it receive…
5f6216c4cfe6f0c40622f54b,"Alhamdulillah, the Propaganda of the Opposition failed once again today.💪 Today, along with Imran Khan, Pakistan ha… https://t.co/MYPBZ4L3Tx"
5f6216c4cfe6f0c40622f54d,"RT @Bankers_United: We see no reason why those heck careless officials RM &amp; HR of SBI Visakhapatnm shouldn't be booked under 307/302 &amp; othe…"
5f6216c4cfe6f0c40622f54f,"RT @RyanAFournier: Chinese Virologist Dr. Li-Meng Yan was suspended from Twitter...

Because she said the Chinese Communist Government crea…"
5f6216c4cfe6f0c40622f551,"Corona finna run through the team like tomb raider, then the team gonna spread it on campus. I hate it here"
5f6216c4cfe6f0c40622f553,Super sir @jeranjit 😍😍 always happy to associated with u 😍😍
5f6216c4cfe6f0c40622f555,RT @FPWellman: We could be living our lives already.
5f6216c4cfe6f0c40622f557,RT @FPWellman: We could be living our lives already. https://t.co/IZhYpw5uky
5f6216c4cfe6f0c40622f559,"RT @BleacherReport: Big Ten football is back.

The conference is reversing postponement and will start on Oct. 24 with a plan that includes…"
5f6216c4cfe6f0c40622f55b,"RT @AngelWarrior321: Last night on Tucker Carlson it was revealed that

CORONAVIRUS was CREATED in Wuhan Lab and released INTENTIONALLY!

W…"
5f6216c4cfe6f0c40622f55d,"RT @JesseCharlesLee: The simple translation of this is “just let everybody get it and whoever dies, dies.” That’s Trump’s plan for the Coro…"
5f6216c4cfe6f0c40622f55f,"UK coronavirus LIVE: The government defends COVID testing shortages as the end to furlough risks 'opening redundanc… https://t.co/VM7hDeNgXO"
5f6216c4cfe6f0c40622f561,We are well skilled and experienced mobile app developer with 10+ years of experience in this field.… https://t.co/nxzvcWxQlJ
5f6216c4cfe6f0c40622f563,RT @KamVTV: The media should start reporting the number of kids that go missing every day the way they report Covid numbers. Maybe that wou…
5f6216c4cfe6f0c40622f565,RT @Minorcynic: In Scotland 51 people are in hospital with (can’t determine if being treated for or just tested positive) Covid 19.  6 in I…
5f6216c4cfe6f0c40622f567,"RT @RichChumney: Liberty University’s Covid-19 dashboard is now live. There are 141 active cases among students and employees. 

https://t.…"
5f6216c4cfe6f0c40622f569,"RT @macleans: Paul Wells: Liberals are coming to terms with the realization that COVID-19 didn't cancel gravity, and that 'building back be…"
5f6216c4cfe6f0c40622f56b,"People believe (rightly) that he isn't even trying to save American lives, and his ""scary antifa is coming for the… https://t.co/dxKRkyQzxG"
5f6216c4cfe6f0c40622f56d,"RT @GenFlynn: When something is so vital to America’s survival...”Everyone needs to know the truth”⁩

China has no other intention than to…"
5f6216c4cfe6f0c40622f56f,"RT @TomFitton: Chinese virologist: China's government 'intentionally' released #COVID-19 https://t.co/TSOlBWErMx #FoxNews"
5f6216c4cfe6f0c40622f571,"RT @TomFitton: There are no ""Fauci standard"" studies that masks/mask mandates work to curtail spread of #coronavirus.  Same for 
""social di…"
5f6216c4cfe6f0c40622f573,"RT @donwinslow: You can't have 50 governors with 50 different strategies battling one virus.

But that's what Donald Trump did.

Instead of…"
5f6216c4cfe6f0c40622f575,"RT @BombshellDAILY: SUPER-SPREADER WEDDING
Five dead and 175 infected after mask-less wedding spreads contagion. #death #200Kdead  #sicknes…"
5f6216c4cfe6f0c40622f577,"RT @CNN: A wedding in Maine is linked to 176 Covid-19 cases and the deaths of seven people who didn't attend the celebration, demonstrating…"
5f6216c4cfe6f0c40622f579,RT @gatewaypundit: Dr. Lawrence Sellin: The Unequivocal Evidence Chinese Scientist Dr. Li-Meng Yan Provides Proof COVID-19 was Created by C…
5f6216c4cfe6f0c40622f57b,RT @JamesMelville: Promising news: Scientists at the University of Pittsburgh have discovered the smallest biological molecule to date that…
5f6216c4cfe6f0c40622f57d,"RT @lindamciver: Can we stop having headlines saying ""University X to shed Y jobs due to coronavirus"" please? The real headlines should be…"
5f6216c4cfe6f0c40622f57f,CNBC - Yelp data shows 60% of business closures due to pandemic now permanent @CNBC https://t.co/jRLswmhbxl
5f6216c4cfe6f0c40622f581,"So, if when they get COVID, can we say they asked for it and deny them healthcare?"
5f6216c4cfe6f0c40622f583,"RT @ProfKarolSikora: I'm often told to 'stick to cancer' so let me do that.

Disruption caused to diagnosis, treatment and research will co…"
5f6216c4cfe6f0c40622f585,Like Trusting @BillGates #Trump2020 #MAGA2020LandslideVictory https://t.co/kvVGQgVDFd
5f6216c4cfe6f0c40622f587,"RT @bruce_y_lee: On an ABC News Town Hall w/ @GStephanopoulos President Trump claimed that w/ ""a herd mentality"" #COVID19 #coronavirus woul…"
