_id,created_at,id,id_str,text,source,truncated,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user.id,user.id_str,user.name,user.screen_name,user.location,user.url,user.description,user.translator_type,user.protected,user.verified,user.followers_count,user.friends_count,user.listed_count,user.favourites_count,user.statuses_count,user.created_at,user.utc_offset,user.time_zone,user.geo_enabled,user.lang,user.contributors_enabled,user.is_translator,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.profile_image_url,user.profile_image_url_https,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,geo,coordinates,place,contributors,is_quote_status,quote_count,reply_count,retweet_count,favorite_count,entities.hashtags,entities.urls,entities.user_mentions,entities.symbols,favorited,retweeted,possibly_sensitive,filter_level,lang,timestamp_ms
5f58a585c08cf337fbd60fdc,Wed Sep 09 09:51:22 +0000 2020,1303632077062111232,1303632077062111232,"Another rise in number of Isle of Wight #Covid19 cases

Isle of Wight #Coronavirus numbers have crept up again over… https://t.co/QDPWI6hkzb","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",true,null,null,null,null,null,786561,786561,OnTheWight: Isle of Wight News,onthewight,"Isle of Wight, England",http://onthewight.com,"The award-winning team behind OnTheWight provides trusted Isle of Wight news, community, sport and what’s on information.",none,false,true,15696,1618,252,2030,60079,Wed Feb 21 15:46:07 +0000 2007,null,null,true,null,false,false,F38611,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,false,0000FF,FFFFFF,E0FF92,000000,false,http://pbs.twimg.com/profile_images/1020952974623944704/bbuXQMd7_normal.jpg,https://pbs.twimg.com/profile_images/1020952974623944704/bbuXQMd7_normal.jpg,false,false,null,null,null,null,null,null,null,false,0,0,0,0,"[{""text"":""Covid19"",""indices"":[40,48]},{""text"":""Coronavirus"",""indices"":[70,82]}]","[{""url"":""https://t.co/QDPWI6hkzb"",""expanded_url"":""https://twitter.com/i/web/status/1303632077062111232"",""display_url"":""twitter.com/i/web/status/1…"",""indices"":[117,140]}]",[],[],false,false,false,low,en,1599645082141
5f58a585c08cf337fbd60fde,Wed Sep 09 09:51:22 +0000 2020,1303632077099806720,1303632077099806720,I have a question: If autism has been pushed for the 12 years of my journey with my son.. The families before me ha… https://t.co/NyoLK4mCXL,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",true,null,null,null,null,null,1132689822571728897,1132689822571728897,Venessa Bobb,BobbVenessa,London,null,"My journey, my interests and other issues I have experienced, that need to be addressed. Autism, Abuse, Exploitation, Young Mums, My Faith. Opinions are my own.",none,false,false,1168,2725,7,4736,5967,Sun May 26 16:47:52 +0000 2019,null,null,true,null,false,false,F5F8FA,false,false,false,1DA1F2,C0DEED,DDEEF6,333333,true,http://pbs.twimg.com/profile_images/1231721505001820160/-V5OJqFz_normal.jpg,https://pbs.twimg.com/profile_images/1231721505001820160/-V5OJqFz_normal.jpg,true,false,null,null,null,null,null,null,null,false,0,0,0,0,[],"[{""url"":""https://t.co/NyoLK4mCXL"",""expanded_url"":""https://twitter.com/i/web/status/1303632077099806720"",""display_url"":""twitter.com/i/web/status/1…"",""indices"":[117,140]}]",[],[],false,false,,low,en,1599645082150
5f58a585c08cf337fbd60fe0,Wed Sep 09 09:51:22 +0000 2020,1303632077829570563,1303632077829570563,@boojiboo624 @simondolan Just a guess. Which one do you think is his motivation to get Covid spreading in the UK?,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",false,1303631733972230149,1303631733972230149,1300123771878232070,1300123771878232070,boojiboo624,1196407154284138496,1196407154284138496,Up-lit sunlands,fairer_taxes,null,null,"What I don't understand is why do many supposedly intelligent people want to vote for a Russian-backed known liar.",none,false,false,39,66,0,167,2704,Mon Nov 18 12:37:58 +0000 2019,null,null,false,null,false,false,F5F8FA,false,false,false,1DA1F2,C0DEED,DDEEF6,333333,true,http://pbs.twimg.com/profile_images/1267530755388948480/1MK3v80n_normal.jpg,https://pbs.twimg.com/profile_images/1267530755388948480/1MK3v80n_normal.jpg,true,false,null,null,null,null,null,null,null,false,0,0,0,0,[],[],"[{""screen_name"":""boojiboo624"",""name"":""Experiment 624"",""id"":1300123771878232000,""id_str"":""1300123771878232070"",""indices"":[0,12]},{""screen_name"":""simondolan"",""name"":""Simon Dolan #KBF"",""id"":54935934,""id_str"":""54935934"",""indices"":[13,24]}]",[],false,false,,low,en,1599645082324
5f58a586c08cf337fbd60fe2,Wed Sep 09 09:51:22 +0000 2020,1303632078362341376,1303632078362341376,"RT @StopNewNormal: Well done for speaking up but we need all MPs to do the same. We are no longer being governed, we are being controlled","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",false,null,null,null,null,null,1039933349807222784,1039933349807222784,Andrew Peterson 🇬🇧#KBF🇬🇧,AndrewP92494752,"Romsey, England",null,"Proud to be 🇬🇧 British
Global 🌍 Outlook
Freedom
Democracy

All Lives Matter
Anti Lockdown!

Family, history, travel, reading & music.
Saints FC 🔴⚪🔴⚪🔴 fan",none,false,false,966,978,0,41383,37077,Wed Sep 12 17:46:46 +0000 2018,null,null,true,null,false,false,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,false,1B95E0,000000,000000,000000,false,http://pbs.twimg.com/profile_images/1284883795909509121/qL-oLthC_normal.jpg,https://pbs.twimg.com/profile_images/1284883795909509121/qL-oLthC_normal.jpg,false,false,null,null,null,null,null,null,null,true,0,0,0,0,[],[],"[{""screen_name"":""StopNewNormal"",""name"":""Stop New Normal"",""id"":1259162347400200200,""id_str"":""1259162347400200194"",""indices"":[3,17]}]",[],false,false,,low,en,1599645082451
5f58a586c08cf337fbd60fe4,Wed Sep 09 09:51:22 +0000 2020,1303632078538375168,1303632078538375168,"RT @ThonyLeodones: CANADA is now COVID FREE, I hope PHILIPPINES too.","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",false,null,null,null,null,null,3739135215,3739135215,Mae,mnlomae,♡,http://instagram.com/mnlomae,null,none,false,false,224,205,0,7939,4114,Tue Sep 22 13:28:56 +0000 2015,null,null,true,null,false,false,000000,http://abs.twimg.com/images/themes/theme19/bg.gif,https://abs.twimg.com/images/themes/theme19/bg.gif,false,F58EA8,000000,000000,000000,false,http://pbs.twimg.com/profile_images/1302604863545589762/wWV3wYR1_normal.jpg,https://pbs.twimg.com/profile_images/1302604863545589762/wWV3wYR1_normal.jpg,false,false,null,null,null,null,null,null,null,false,0,0,0,0,[],[],"[{""screen_name"":""ThonyLeodones"",""name"":""Anthony Leodones"",""id"":1043716857033711600,""id_str"":""1043716857033711616"",""indices"":[3,17]}]",[],false,false,,low,en,1599645082493
5f58a586c08cf337fbd60fe6,Wed Sep 09 09:51:22 +0000 2020,1303632078597226496,1303632078597226496,“Indisputable facts” on #KillerCuomo,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,null,null,null,null,null,2898222257,2898222257,SVDavis,srvdavis,null,null,null,none,false,false,183,649,4,15515,8996,Sat Nov 29 22:04:05 +0000 2014,null,null,false,null,false,false,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,false,1DA1F2,C0DEED,DDEEF6,333333,true,http://pbs.twimg.com/profile_images/741797806202064896/6YbW1m-1_normal.jpg,https://pbs.twimg.com/profile_images/741797806202064896/6YbW1m-1_normal.jpg,true,false,null,null,null,null,null,null,null,true,0,0,0,0,"[{""text"":""KillerCuomo"",""indices"":[24,36]}]",[],[],[],false,false,,low,en,1599645082507
5f58a586c08cf337fbd60fe8,Wed Sep 09 09:51:22 +0000 2020,1303632078584664065,1303632078584664065,"RT @ezralevant: For anyone under age 50, COVID-19 is less dangerous than the yearly flu. In Canada, population 37 million, there has been a…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",false,null,null,null,null,null,1267480090788737027,1267480090788737027,Hugs Over Masks,HugsOverMasks,Ontario,http://HugsOverMasks.ca,Exposing the hypocrisies of COVID-19 and calling for #NoNewNormal. Join the community!,none,false,false,790,166,0,182,100,Mon Jun 01 15:36:48 +0000 2020,null,null,false,null,false,false,F5F8FA,false,false,false,1DA1F2,C0DEED,DDEEF6,333333,true,http://pbs.twimg.com/profile_images/1270471452370894851/Ju8BKnwn_normal.jpg,https://pbs.twimg.com/profile_images/1270471452370894851/Ju8BKnwn_normal.jpg,true,false,null,null,null,null,null,null,null,true,0,0,0,0,[],[],"[{""screen_name"":""ezralevant"",""name"":""Ezra Levant 🍁"",""id"":20878297,""id_str"":""20878297"",""indices"":[3,14]}]",[],false,false,,low,en,1599645082504
5f58a586c08cf337fbd60fea,Wed Sep 09 09:51:22 +0000 2020,1303632078496464896,1303632078496464896,Nb: not understanding (or pretending to not understand) how risks can be managed or balanced is a bit like pretendi… https://t.co/uZsXpoECtH,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",true,null,null,null,null,null,629133,629133,"James O'Malley",Psythor,London,http://jamesomalley.co.uk,"Freelance journalist for hire. Politics/Tech/Data Mashing/Bad Takes.

I made @TrumpsAlert.

Previously Editor of @GizmodoUK.

Trustee @ConwayHall.",none,false,true,17573,1238,442,8721,20451,Fri Jan 12 16:05:55 +0000 2007,null,null,true,null,false,false,000033,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,false,003399,000000,FFCC00,000000,false,http://pbs.twimg.com/profile_images/568745955562778624/xawiEt8-_normal.jpeg,https://pbs.twimg.com/profile_images/568745955562778624/xawiEt8-_normal.jpeg,false,false,null,null,null,null,null,null,null,true,0,0,0,0,[],"[{""url"":""https://t.co/uZsXpoECtH"",""expanded_url"":""https://twitter.com/i/web/status/1303632078496464896"",""display_url"":""twitter.com/i/web/status/1…"",""indices"":[117,140]}]",[],[],false,false,,low,en,1599645082483
5f58a586c08cf337fbd60fec,Wed Sep 09 09:51:22 +0000 2020,1303632078697885696,1303632078697885696,RT @NBCNews: A prominent religious leader in Ukraine who earlier this year blamed the coronavirus pandemic on same-sex marriage has tested…,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",false,null,null,null,null,null,1036648921291010049,1036648921291010049,AufsMaul,dersunterwegs,Deutschland,null,"Politisch global interessiert, Feminist, bewundert AOC, fckafd und ihre Mitversager",none,false,false,18,424,0,9667,8422,Mon Sep 03 16:15:37 +0000 2018,null,null,false,null,false,false,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,false,E81C4F,000000,000000,000000,false,http://pbs.twimg.com/profile_images/1265680111971586054/ZELefFZK_normal.jpg,https://pbs.twimg.com/profile_images/1265680111971586054/ZELefFZK_normal.jpg,false,false,null,null,null,null,null,null,null,false,0,0,0,0,[],[],"[{""screen_name"":""NBCNews"",""name"":""NBC News"",""id"":14173315,""id_str"":""14173315"",""indices"":[3,11]}]",[],false,false,,low,en,1599645082531
5f58a586c08cf337fbd60fee,Wed Sep 09 09:51:22 +0000 2020,1303632078785847296,1303632078785847296,"RT @ThonyLeodones: CANADA is now COVID FREE, I hope PHILIPPINES too.","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",false,null,null,null,null,null,1118573501621792768,1118573501621792768,✿,laureeness,null,null,who i am,none,false,false,624,786,0,30317,14139,Wed Apr 17 17:54:39 +0000 2019,null,null,false,null,false,false,F5F8FA,false,false,false,1DA1F2,C0DEED,DDEEF6,333333,true,http://pbs.twimg.com/profile_images/1301887098279010305/-n49bdJQ_normal.jpg,https://pbs.twimg.com/profile_images/1301887098279010305/-n49bdJQ_normal.jpg,true,false,null,null,null,null,null,null,null,false,0,0,0,0,[],[],"[{""screen_name"":""ThonyLeodones"",""name"":""Anthony Leodones"",""id"":1043716857033711600,""id_str"":""1043716857033711616"",""indices"":[3,17]}]",[],false,false,,low,en,1599645082552
