_id,created_at,id,id_str,text,source,truncated,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user.id,user.id_str,user.name,user.screen_name,user.location,user.url,user.description,user.translator_type,user.protected,user.verified,user.followers_count,user.friends_count,user.listed_count,user.favourites_count,user.statuses_count,user.created_at,user.utc_offset,user.time_zone,user.geo_enabled,user.lang,user.contributors_enabled,user.is_translator,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,geo,coordinates,place,contributors,is_quote_status,extended_tweet.full_text,extended_tweet.display_text_range,extended_tweet.entities.hashtags,extended_tweet.entities.urls,extended_tweet.entities.user_mentions,extended_tweet.entities.symbols,quote_count,reply_count,retweet_count,favorite_count,entities.hashtags,entities.urls,entities.user_mentions,entities.symbols,favorited,retweeted,filter_level,lang,timestamp_ms
5f58a8a5205191562ac2b3ce,Wed Sep 09 10:04:42 +0000 2020,1303635434183028736,1303635434183028736,"New covid regulations feel like a blow to hopes of getting fans back into sports events.

Not necessarily the case,… https://t.co/fbSjRKaAXG","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",true,null,null,null,null,null,27852677,27852677,Ed Draper,eddraper81,Cheltenham/London,http://www.eddraper.co.uk,Presenter for Sky Sports News + Sky News. All sport but boxing + football big loves. Podcast: http://goo.gl/X5SeFN @ed_draper81 on Insta.,none,false,false,11286,4483,72,35527,26494,Tue Mar 31 11:32:11 +0000 2009,null,null,true,null,false,false,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,false,1DA1F2,C0DEED,DDEEF6,333333,true,http://pbs.twimg.com/profile_images/846749347844886528/sakTj7DY_normal.jpg,https://pbs.twimg.com/profile_images/846749347844886528/sakTj7DY_normal.jpg,https://pbs.twimg.com/profile_banners/27852677/1490715652,true,false,null,null,null,null,null,null,null,false,"New covid regulations feel like a blow to hopes of getting fans back into sports events.

Not necessarily the case, given the nuance Re pubs etc, but hopefully we can clarify the new outlook on @SkySportsNews in coming days.","[0,224]",[],[],"[{""screen_name"":""SkySportsNews"",""name"":""Sky Sports News"",""id"":108568373,""id_str"":""108568373"",""indices"":[194,208]}]",[],0,0,0,0,[],"[{""url"":""https://t.co/fbSjRKaAXG"",""expanded_url"":""https://twitter.com/i/web/status/1303635434183028736"",""display_url"":""twitter.com/i/web/status/1…"",""indices"":[117,140]}]",[],[],false,false,low,en,1599645882541
5f58a8a7205191562ac2b3d0,Wed Sep 09 10:04:42 +0000 2020,1303635434430439426,1303635434430439426,RT @devisridhar: This is not a good idea right now.,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",false,null,null,null,null,null,1138813337150640128,1138813337150640128,Graeme Berry,Graeme_Berry,"Livingston, Scotland",null,🏴󠁧󠁢󠁳󠁣󠁴󠁿 🟥,none,false,false,2942,4171,2,56157,44163,Wed Jun 12 14:20:32 +0000 2019,null,null,false,null,false,false,F5F8FA,false,false,false,1DA1F2,C0DEED,DDEEF6,333333,true,http://pbs.twimg.com/profile_images/1138816401098063872/733nCueT_normal.jpg,https://pbs.twimg.com/profile_images/1138816401098063872/733nCueT_normal.jpg,,true,false,null,null,null,null,null,null,null,true,,,,,,,0,0,0,0,[],[],"[{""screen_name"":""devisridhar"",""name"":""Devi Sridhar"",""id"":174151902,""id_str"":""174151902"",""indices"":[3,15]}]",[],false,false,low,en,1599645882600
5f58a8a7205191562ac2b3d2,Wed Sep 09 10:04:42 +0000 2020,1303635434682150913,1303635434682150913,"RT @CAGuy_: If someone wouldn't appear because of covid19 or may due to other reason we shall left a fair chance to appear for an exams in…","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",false,null,null,null,null,null,1298515360283418625,1298515360283418625,Abhishek,Abhishe30158435,null,null,null,none,false,false,1,1,0,258,165,Wed Aug 26 06:59:29 +0000 2020,null,null,false,null,false,false,F5F8FA,false,false,false,1DA1F2,C0DEED,DDEEF6,333333,true,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,true,false,null,null,null,null,null,null,null,false,,,,,,,0,0,0,0,[],[],"[{""screen_name"":""CAGuy_"",""name"":""A CA Guy"",""id"":1302920863763673000,""id_str"":""1302920863763673088"",""indices"":[3,10]}]",[],false,false,low,en,1599645882660
5f58a8a7205191562ac2b3d4,Wed Sep 09 10:04:42 +0000 2020,1303635434614984704,1303635434614984704,"RT @arnabofficial7: 1000 of Shiv Sena worker on Airport.

CORONA is a joke for Uddhav Thackeray government...

 #DeathOfDemocracy https://t…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",false,null,null,null,null,null,730319629692719106,730319629692719106,ankitjaiswal,ankitja92387950,null,null,null,none,false,false,10,77,0,17,104,Wed May 11 08:52:23 +0000 2016,null,null,false,null,false,false,F5F8FA,false,false,false,1DA1F2,C0DEED,DDEEF6,333333,true,http://pbs.twimg.com/profile_images/1249175280792592384/mqiVS_vT_normal.jpg,https://pbs.twimg.com/profile_images/1249175280792592384/mqiVS_vT_normal.jpg,,true,false,null,null,null,null,null,null,null,false,,,,,,,0,0,0,0,"[{""text"":""DeathOfDemocracy"",""indices"":[112,129]}]",[],"[{""screen_name"":""arnabofficial7"",""name"":""Arnab Goswami"",""id"":1064407129568636900,""id_str"":""1064407129568636928"",""indices"":[3,18]}]",[],false,false,low,en,1599645882644
5f58a8a7205191562ac2b3d6,Wed Sep 09 10:04:42 +0000 2020,1303635434669473793,1303635434669473793,@CleSuperman @JacobWBaker It says Covid complications you dumb fucking idiot.,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",false,1303634021243654145,1303634021243654145,3219533333,3219533333,CleSuperman,594964927,594964927,Matthew Marczi,mmarczi,New Jersey,http://www.steelersdepot.com,"Writer for Steelers Depot. Loud music, dark literature, world cinema. Sporadic tweets almost always about sports, but I reserve the right to use my voice.",none,false,false,4614,159,84,2723,7781,Wed May 30 22:31:57 +0000 2012,null,null,false,null,false,false,000000,http://abs.twimg.com/images/themes/theme8/bg.gif,https://abs.twimg.com/images/themes/theme8/bg.gif,false,1B95E0,000000,EADEAA,333333,true,http://pbs.twimg.com/profile_images/1028045702386122753/fmdaPZJp_normal.jpg,https://pbs.twimg.com/profile_images/1028045702386122753/fmdaPZJp_normal.jpg,https://pbs.twimg.com/profile_banners/594964927/1533940171,false,false,null,null,null,null,null,null,null,false,,,,,,,0,0,0,0,[],[],"[{""screen_name"":""CleSuperman"",""name"":""🇺🇸🇺🇸🇺🇸CleSuperman🇺🇸🇺🇸🇺🇸"",""id"":3219533333,""id_str"":""3219533333"",""indices"":[0,12]},{""screen_name"":""JacobWBaker"",""name"":""Jacob Baker"",""id"":1161021777243283500,""id_str"":""1161021777243283456"",""indices"":[13,25]}]",[],false,false,low,en,1599645882657
5f58a8a7205191562ac2b3d8,Wed Sep 09 10:04:42 +0000 2020,1303635434728124416,1303635434728124416,"RT @BJP4India: See how the SVANidhi Yojana beneficiaries will also get benefits such as interest subvention, cashbacks and top ups. If they…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",false,null,null,null,null,null,934657507103928321,934657507103928321,Rakesh Bose,RakeshBoseBJP,"Sheoraphuli,West Bengal, India",https://www.facebook.com/RakeshBoseBJP,Nationalist | Member of @BJP4Bengal IT & Social Media | Ex IT-inchange of @BJP4Serampore | Proud Hindu | Social Worker | Views are Personal.RTs not endorsement.,none,false,false,3894,2131,1,75897,58694,Sun Nov 26 05:38:09 +0000 2017,null,null,false,null,false,false,F5F8FA,false,false,false,1DA1F2,C0DEED,DDEEF6,333333,true,http://pbs.twimg.com/profile_images/1272542702911905793/K99rEjon_normal.jpg,https://pbs.twimg.com/profile_images/1272542702911905793/K99rEjon_normal.jpg,https://pbs.twimg.com/profile_banners/934657507103928321/1593604383,true,false,null,null,null,null,null,null,null,false,,,,,,,0,0,0,0,[],[],"[{""screen_name"":""BJP4India"",""name"":""BJP"",""id"":207809313,""id_str"":""207809313"",""indices"":[3,13]}]",[],false,false,low,en,1599645882671
5f58a8a7205191562ac2b3da,Wed Sep 09 10:04:42 +0000 2020,1303635434862514177,1303635434862514177,"RT @arnabofficial7: 1000 of Shiv Sena worker on Airport.

CORONA is a joke for Uddhav Thackeray government...

 #DeathOfDemocracy https://t…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,null,null,null,null,null,1253741283341983746,1253741283341983746,Vijaya Duggina,Vijaya02287997,null,null,"I am an animal activist, and a eco-friendly, fun loving person",none,false,false,1,26,0,197,123,Fri Apr 24 17:43:59 +0000 2020,null,null,false,null,false,false,F5F8FA,false,false,false,1DA1F2,C0DEED,DDEEF6,333333,true,http://pbs.twimg.com/profile_images/1256236227893788675/UcJJOwkL_normal.jpg,https://pbs.twimg.com/profile_images/1256236227893788675/UcJJOwkL_normal.jpg,https://pbs.twimg.com/profile_banners/1253741283341983746/1588345031,true,false,null,null,null,null,null,null,null,false,,,,,,,0,0,0,0,"[{""text"":""DeathOfDemocracy"",""indices"":[112,129]}]",[],"[{""screen_name"":""arnabofficial7"",""name"":""Arnab Goswami"",""id"":1064407129568636900,""id_str"":""1064407129568636928"",""indices"":[3,18]}]",[],false,false,low,en,1599645882703
5f58a8a7205191562ac2b3dc,Wed Sep 09 10:04:42 +0000 2020,1303635434753290240,1303635434753290240,Omgg are you serious!!!!,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,null,null,null,null,null,510415946,510415946,Patie 👸🏾,ms_pashy,In my feels ,null,Here to laugh.. Might show signs of thinking out loud here and there,none,false,false,968,401,1,3928,18931,Thu Mar 01 15:38:34 +0000 2012,null,null,true,null,false,false,000000,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,false,F5ABB5,000000,000000,000000,false,http://pbs.twimg.com/profile_images/1285207735198343169/orrSoQxQ_normal.jpg,https://pbs.twimg.com/profile_images/1285207735198343169/orrSoQxQ_normal.jpg,https://pbs.twimg.com/profile_banners/510415946/1513935697,false,false,null,null,null,null,null,null,null,true,,,,,,,0,0,0,0,[],[],[],[],false,false,low,en,1599645882677
5f58a8a7205191562ac2b3de,Wed Sep 09 10:04:42 +0000 2020,1303635435055386626,1303635435055386626,and he likes EastEnders! Must be gay,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,1303633998606995456,1303633998606995456,787760726,787760726,BListAtCapital,787760726,787760726,🐝-List at Capital,BListAtCapital,"Manchester, England",null,"One foot in the Past, One foot in the Future. 90s Pop Terrorist and just behind Linkin Park. • #BeMoreMartyn 🐝🏳️‍🌈🎧 he/him",none,false,false,9857,3105,68,50059,123384,Tue Aug 28 20:08:14 +0000 2012,null,null,true,null,false,false,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,false,981CEB,000000,000000,000000,false,http://pbs.twimg.com/profile_images/1280619266270736384/sg_U0pci_normal.jpg,https://pbs.twimg.com/profile_images/1280619266270736384/sg_U0pci_normal.jpg,https://pbs.twimg.com/profile_banners/787760726/1599552621,false,false,null,null,null,null,null,,null,false,,,,,,,0,0,0,0,[],[],[],[],false,false,low,en,1599645882749
5f58a8a7205191562ac2b3e0,Wed Sep 09 10:04:42 +0000 2020,1303635435088875521,1303635435088875521,"RT @KanganaTeam: There is no illegal construction in my house, also government has banned any demolitions in Covid till September 30, Bully…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,null,null,null,null,null,19114465,19114465,Abhishek Tiwari,abhishektiwari,Sydney,https://abhishek-tiwari.com/,"Founder @d3metalab @axioms_io. Attract, Nurture and Retain Top Tech Talent. Tech Savant. Proud Father. Loving Husband.",none,false,false,2414,1322,263,5912,11922,Sat Jan 17 16:20:42 +0000 2009,null,null,true,null,false,false,7FBDC9,http://abs.twimg.com/images/themes/theme19/bg.gif,https://abs.twimg.com/images/themes/theme19/bg.gif,false,CF5736,FFFFFF,91D0DC,4B4F88,true,http://pbs.twimg.com/profile_images/1127925710918565888/X-H5QX6l_normal.png,https://pbs.twimg.com/profile_images/1127925710918565888/X-H5QX6l_normal.png,,false,false,null,null,null,null,null,null,null,false,,,,,,,0,0,0,0,[],[],"[{""screen_name"":""KanganaTeam"",""name"":""Kangana Ranaut"",""id"":3946905252,""id_str"":""3946905252"",""indices"":[3,15]}]",[],false,false,low,en,1599645882757
