,text
70,"{'neg': 0.0, 'neu': 0.638, 'pos': 0.362, 'compound': 0.5267}"
71,"{'neg': 0.286, 'neu': 0.714, 'pos': 0.0, 'compound': -0.34}"
72,"{'neg': 0.0, 'neu': 0.529, 'pos': 0.471, 'compound': 0.7906}"
73,"{'neg': 0.208, 'neu': 0.792, 'pos': 0.0, 'compound': -0.2732}"
74,"{'neg': 0.0, 'neu': 0.861, 'pos': 0.139, 'compound': 0.2732}"
75,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
76,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
77,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
78,"{'neg': 0.237, 'neu': 0.763, 'pos': 0.0, 'compound': -0.4215}"
79,"{'neg': 0.189, 'neu': 0.811, 'pos': 0.0, 'compound': -0.2732}"
80,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
81,"{'neg': 0.589, 'neu': 0.411, 'pos': 0.0, 'compound': -0.8625}"
82,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
83,"{'neg': 0.529, 'neu': 0.471, 'pos': 0.0, 'compound': -0.6705}"
84,"{'neg': 0.224, 'neu': 0.776, 'pos': 0.0, 'compound': -0.3818}"
85,"{'neg': 0.165, 'neu': 0.671, 'pos': 0.165, 'compound': 0.0}"
86,"{'neg': 0.362, 'neu': 0.552, 'pos': 0.086, 'compound': -0.6705}"
87,"{'neg': 0.423, 'neu': 0.577, 'pos': 0.0, 'compound': -0.765}"
88,"{'neg': 0.583, 'neu': 0.417, 'pos': 0.0, 'compound': -0.4939}"
89,"{'neg': 0.094, 'neu': 0.625, 'pos': 0.281, 'compound': 0.5267}"
90,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.25}"
91,"{'neg': 0.0, 'neu': 0.723, 'pos': 0.277, 'compound': 0.3182}"
92,"{'neg': 0.0, 'neu': 0.424, 'pos': 0.576, 'compound': 0.7999}"
93,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
94,"{'neg': 0.5, 'neu': 0.27, 'pos': 0.23, 'compound': -0.6124}"
95,"{'neg': 0.0, 'neu': 0.82, 'pos': 0.18, 'compound': 0.296}"
96,"{'neg': 0.684, 'neu': 0.316, 'pos': 0.0, 'compound': -0.9186}"
97,"{'neg': 0.42, 'neu': 0.284, 'pos': 0.295, 'compound': -0.296}"
98,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
99,"{'neg': 0.338, 'neu': 0.662, 'pos': 0.0, 'compound': -0.6249}"
100,"{'neg': 0.341, 'neu': 0.659, 'pos': 0.0, 'compound': -0.6908}"
101,"{'neg': 0.193, 'neu': 0.552, 'pos': 0.255, 'compound': -0.0258}"
102,"{'neg': 0.0, 'neu': 0.619, 'pos': 0.381, 'compound': 0.5106}"
103,"{'neg': 0.229, 'neu': 0.602, 'pos': 0.169, 'compound': -0.25}"
104,"{'neg': 0.0, 'neu': 0.707, 'pos': 0.293, 'compound': 0.4404}"
105,"{'neg': 0.362, 'neu': 0.552, 'pos': 0.086, 'compound': -0.6705}"
106,"{'neg': 0.0, 'neu': 0.791, 'pos': 0.209, 'compound': 0.4404}"
107,"{'neg': 0.0, 'neu': 0.761, 'pos': 0.239, 'compound': 0.296}"
108,"{'neg': 0.328, 'neu': 0.672, 'pos': 0.0, 'compound': -0.5994}"
109,"{'neg': 0.463, 'neu': 0.537, 'pos': 0.0, 'compound': -0.7096}"
110,"{'neg': 0.124, 'neu': 0.876, 'pos': 0.0, 'compound': -0.1779}"
111,"{'neg': 0.424, 'neu': 0.417, 'pos': 0.16, 'compound': -0.5859}"
112,"{'neg': 0.0, 'neu': 0.424, 'pos': 0.576, 'compound': 0.7999}"
113,"{'neg': 0.333, 'neu': 0.667, 'pos': 0.0, 'compound': -0.6705}"
114,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
